initial_query	fixed_by_prod_model
4	Муазон	Муазон
45	macallan	macallan
9	amarone di valpolicella	amarone di valpolicella
0	365 Pomegranate Gevorkian Winery	365 Pomegranate Gevorkian Winery
35	Moet	Moet
3	Akvadiv Hutorskaya	Akvadiv Hutorskaya
3	Les Pagodes de Cos	Les Pagodes de Cos
9	Syabry	Syabry
0	вино мускат красного камня	вино мускат красного камня
6	lenz moser	lenz moser
45	набор	набор
45	Creman	Creman
24	ликер	ликер
16	Саранск	Саранск
3	Anna de Codorniu	Anna de Codorniu
0	Нефть водка	Нефть водка
0	Портвейн alegre	Портвейн alegre
42	Коктебель	Коктебель
45	ribera del duero	ribera del duero
1	Port Charlotte	Port Charlotte
7	Кремлевский	Кремлевский
12	Бахчисарай	Бахчисарай
10	La Gioia	La Gioia
14	Jaume Serra	Jaume Serra
5	Puni	Puni
16	1968	1968
45	Riesling	Riesling
3	мачомэн	мачомэн
3	Альминская долина Каберне Совиньон	Альминская долина Каберне Совиньон
0	primocolle	primocolle
0	Glenmorangie Original 10 лет	Glenmorangie Original 10 лет
1	эксп8379	эксп8379
15	блю кюрасао	блю кюрасао
2	NOY Araspel	NOY Araspel
5	Курвуазье ВСОП	Курвуазье ВСОП
42	коктебель	коктебель
