searchstring;productcount;eventdate;fixed;is_fixed;brands_fixed;layout_fixed;spaces_fixed;typos_fixed;;
Chateau Petrus 2007;3;29.12.2018;chateau petrus 2007;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011970453;1
Белуга;41;29.12.2018;белуга;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,011313862;1
Семигорье;19;29.12.2018;semigorye;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00355588;1
1964;14;29.12.2018;1964;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,001000647;1
Авиво;0;29.12.2018;aviva;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012466125;1
0.187;0;29.12.2018;0.187;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,00152799;1
Бальзам;29;28.12.2018;бальзам;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,013483382;1
Moscato;45;28.12.2018;moscato;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,020138077;1
ar1117;1;28.12.2018;ar1117;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026951399;1
chartreuse;8;28.12.2018;chartreuse;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004775551;1
d347;1;28.12.2018;d347;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,004912263;1
 де Ситран;13;28.12.2018;де ситран;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,007399004;1
Casillero del Diablo;4;28.12.2018;casillero del diablo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,009727705;1
Cono Sur Bicicleta Merlo;2;28.12.2018;cono sur bicicleta merlo;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,012722152;1
киндзмараули;0;28.12.2018;киндзмараули;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,024573722;1
Айгешат;0;28.12.2018;айгешат;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,027822744;1
Sambuca;34;28.12.2018;sambuca;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,026255181;1
wd01374;1;28.12.2018;wd01374;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;0,000908486;1
